"summonerName","summonerID","leaguePoints","wins","losses","total_matches","win_percentage"
"KingArtLeywin","o7It6z2kk6XeRRJR2Eu7-LDS0zKFDKWYGgPu6FLHDaSMGMtcjuNvPxZAqw",359,509,489,998,51.00
"pops123","_x8sSN6ZRnSTo953vD9YB_zMMRMYGA_v0KXR2frsZZenJYvf",43,663,637,1300,51.00
"Dewsu","ljalrsL2mKkmLNuauyM8c7Y5H5qpB3jrTzjr0t3heANeS0Q",226,408,392,800,51.00
"Zantimon","hMKVS4xzCO1O0U_Ot8nnYD5qPaGyxiOyIEIaNgHw8IF4oKOthMSBDhFo8A",159,179,172,351,51.00
"swaggreed","dMdq_3aUTfBxlFevaiq8TgfG97EtIMz3mRZOoq5k-dCj24A",236,333,320,653,51.00
"Blanquirroja","Bdt4M945_9T8cUEupZxvzlNzbuCUDypX7R3i5ozMXOEPgCE",29,537,516,1053,51.00
"Toxic Asol","VTYtbXxvLzK-k5UKd6F97Oa5ulQSXR_WstkNUigZ_7Kp1Ks",0,153,147,300,51.00
"ßK201","n6IgCvvhuzJoFGwMOxxPQjSALQGqgKUdnKgguwZxY_owEVk",248,741,712,1453,51.00
"PT parasol ","3m_RecchWPKQfzganDrFMnaCPCiOa5se29HWzHTswROnhV0",11,204,196,400,51.00
"ZombieOrange","36JKPr3W41HLPNLLZJ5wKpbNNtiaQG10ao-unwOUO5OYkGs",124,154,148,302,50.99
"bark go duck","FGmOc3Q_omu0QYgHg-NacklvYcJ7_OQntZMVPHGQNFFjeEI",119,103,99,202,50.99
"TTV Apexidy","_dKEzl0FUPa9mDqxg8N_uQFdBfeEmZ93y68XwjhcDlX8ecbRNCugEXdwdg",291,540,519,1059,50.99
"Rim My Hole ","uNftQg2Qrt3FUADCN3zX1G9bh0lm-O2NXxyrlN8_kjWnZ0g",295,258,248,506,50.99
"WarnedJacka","ZeZWM4bIJTvGQBGdAbgkPnfVOg52gy7keuarwCwy4Au9vJE",320,542,521,1063,50.99
"Shadow Assault","dyIjhmdjKkrWRYSMjfqOH9pW2jrZE5S7RWMgt8UC__ZzbBQ",32,129,124,253,50.99
"twtvDoglightning","bZ3SPDNqvdixbGV_VT4g8dAKFUca7RDFqUWgnJVJ-waSG6Cy",470,335,322,657,50.99
"Lancelot Link","QFgUYknaMcIM8yeDYvrjfl6sTEelmFdt_dSc9BLXgQiUT4U",281,334,321,655,50.99
"MOONBOY76","DWRU3pxZIdF1IQGCKFJstopQI9SQaqAh8Nzj24gCqcl7V8hT1KFL6rrvAQ",187,573,551,1124,50.98
"Huo Guo Xiao Zi","kavYqODWkxoL814rBhe07yIgcnkBO9GXW0uvx7sb5ajtYLIpJvtjvXpPeQ",361,78,75,153,50.98
"SuperSunny7","8oh0bIyHJ-x9Ujj_Lr1VI271L64hifiMbXh71L3Aq0GelCI",43,104,100,204,50.98
"byeol","D0igF415MTOD7_xtrshN7FmVnDBZmQH0kk6wpNgstYj1HVs",161,259,249,508,50.98
"Gaboomer","XO_J_05E4jqTbu6oHw3VIWC4_PZQ_FrsUyvZH8kkU5vJ5StD",223,286,275,561,50.98
"PastIsJustAGhost","sOdk40VXMgWW3In3hzxIdr54AwlPsbYCUotCRqTcIhBomasb",442,313,301,614,50.98
"Heal it up","TSEEqeBvXRtRdU7RP9n89RXOVqgtaO9sy6BKIO2lrPuOFEM",0,653,628,1281,50.98
"Putilt","qeOYnCd638uUTwhq5RtqhljNGF3Kgsbx_DtUDtIXdaYZZ9w",428,259,249,508,50.98
"100 Dan Dan","ELzoxOU9EG4v1innqadaXjkTSvvQ5DkvirCIKpVd8Ps0zH3uoPbi-l-amQ",292,259,249,508,50.98
"Owlbum","uFeTux5ildP91FYdS6xO33SwTWx_LAJLBUkjZ6Q-BcRKIas",248,342,329,671,50.97
"Ai Love You","wrw4D9i2H_hsYMxKTOy2O7pjH068vughbe6pSbjEHYmMNDY",363,341,328,669,50.97
"SlayerSupremelol","lqT0BFXt5n9_IyumF8PAxdp1scW4Un0eqior7xc8FwLL3SFY",0,262,252,514,50.97
"FLAGGED 50521588","pjqWuwXo6NVgklRLgsaqlLSQSspv_aELCTtPpfd9lEngk7I",86,631,607,1238,50.97
"Mun","VjzcrG9uxYjm-IKQjRw1p1Qz-aaBvDBNaOoKZQb6KfoyIrXn",188,715,688,1403,50.96
"ZKG","OWEPfT_0XfZHnlGN_S1jNz0gD5PybeC5pPoFDm3d-TS3jOE",235,505,486,991,50.96
"Low Altitude","u7MFmtOE9XZiDEJpup_1wlZjF27Lixpkj8JeLMjKvuoSIyEr",187,213,205,418,50.96
"Avoid X","sp0W3Z-053i7r_R2N7Sr-0NzqJZrqCJWjH6dvvNWRoH-zUc",310,344,331,675,50.96
"Hao Yun Bao Beì","lRqALqDlJexplXZu_72gv-LzB7WePqc_KRYFCVw1GXv34Rw",87,293,282,575,50.96
"Toauieini","9SuYZMwLDWlgadT6Lmo0T8E070V-TY7fG1ULw5tWjCD4tUysjrCXMqfs1w",41,608,585,1193,50.96
"fán rén","Eq-IleK56Nv0mgYcDAIAOwKO1BqDkOFTvdn0cTH-78vEEMo",14,212,204,416,50.96
"Somber Soul","B7kGFI2HsU2FrtrAK54Jvs8uNGH3wiP6NCTPL8rzIdmWySQ",253,160,154,314,50.96
"Daddy Jame","vb2TsPgCEHRN8WWupSgl7iNPc7dzrFW2Q0LrqwUxCd4NlPM",1,186,179,365,50.96
"Møgie","i25PyHAKuTVT7qMFdmbSXaJLxh76MA_fmlZ-igVUdkZjgucA",28,292,281,573,50.96
"INANI","Cjwdegg_YD5bJhJKL8Hn5Ob_qise6v8YpBEgenQMzp7mbmU",130,481,463,944,50.95
"Ninja Doggy","owwbbmzC6a7wEiXtXjxZ5VhLTOYDc1OORvWt5NPUyUBl8S0",112,485,467,952,50.95
"PRK Maxiblob","kA-cM91t9fA4x2HaIACASxLdQBftjg_oRExIisBPhZWAfVVpb8nc2oSwrA",187,188,181,369,50.95
"Yunah","T_jaHC3EzTzExodZh6FYT1_AiQRJ2tRivntKmqsfDyEazQs",347,295,284,579,50.95
"say u Iove me","i9GhvuuTIxIJ-4ZXNsGhRvmL2x00B2JqIX0ZngEzedJRuz4B",307,215,207,422,50.95
"BunFuu","HrertYKBrFGl4VtH1QmDWc6HeINPXkbO1OOUL7boXVoaybU",240,294,283,577,50.95
"Cockroach","gzBYRGA4YOlXuSXbH5RniiiHDHRNtjB3yfebFSqNnEUYKtY",124,561,540,1101,50.95
"top diff game","NWOo2XaG8RDFb82zcLwKslH2ITDzqUO0OLvdnUACGkX_e0Y",30,644,620,1264,50.95
"Aldnoah","yToi9TrkwHBbSXCLueJdAyKXy5ghXGNsHUqTVUfbFb3s6Cw",348,455,438,893,50.95
"Abmis","VEVj7SAmppF0aLB-t36HyqhJxWCwXb-GUWyHpKndJqN64R0",235,189,182,371,50.94
"LFT DRAGOMiiR","1-yn83c-M9y6VOPXy5wW8HTz7XaiRQmgB9V2yErk26ntCq4",306,625,602,1227,50.94
"PykePentaNA","xIDF691OrVDAFlM8ldcs8-5OHouyKJ4XVgo6Wx7jFYNWm9xm_d_LwCv3bQ",121,378,364,742,50.94
"TheWorldAtNight","BlE-xdYTfnXNA77bud21dmEqSwv9p6l7U0NIwx7DoyXrkv4",93,81,78,159,50.94
"Kimitoe","_oQgsIQDcAlftNCdBeO0pm3hGkYhOeOE-SqsXA-V7lIf8HFl4yujBYoB3w",10,27,26,53,50.94
"Beeg Beeg Yoshi","37-UGNOETeoeUSeNyHcbpJ9LIzqAsJR8dVTynLh3cQIFPZc",255,217,209,426,50.94
"sojido","oY1mUNJHGfYiPNMZuwD5mCkmD7s68c_1FVUlHKo7L2fxaso",6,328,316,644,50.93
"Delights Garden","1ACIxpDtztxkpfNR5BrkScYo8pxdyuCFU-Lsdvz8wINoVTvsLNEU1BokFQ",321,222,214,436,50.92
"Snoop Donk","RYDFYqM1use9bczH3_gxT2ZU5GXxqNpCawLOBNNfuVsjRZA",14,276,266,542,50.92
"AllAero","1B6aYdT2pSWPIWFuKnrZwQEZc9pLg0VyDjjU8jvEeoXuwx4",0,111,107,218,50.92
"who is impostor","BqyzGm6_HdZRh6pbj3i7chUeieDcsfePpp-2r4sXvkL2ALh2Xt3CJsyzLQ",260,331,319,650,50.92
"Saint Ghoul","7GFi7s7tl1awY-VzbqW6IwVdYwXSsuCNjhw0nPs5fNZmg6Y",369,414,399,813,50.92
"Benefactor Sam","PvOwkXQPJx0cquznTuL8dHgeOfhKSdIAX5BlN4cjq-nXb00",170,718,692,1410,50.92
"easymoneysplash","LGe4vG-p9OH9KhtaJUVB1arcFzsqbmKQfJSmp2jb6WQ4P40",111,332,320,652,50.92
"Awk","rHlab3QlpwF7HmrFnvuzOHheKiwuD1qz14p57fXWV6Qr-Dg",1,250,241,491,50.92
"AShires","VhJW_dsVIgO_fcEywiCVsIwFpPD0jmg5bRQe1aDBpzHFTFqd",0,883,851,1734,50.92
"Samsâra Top","wNclRS7vAxUqTE4YpeQGj-GUPcHXK7mSxpyQxHHh1FwSvYh-r0cItzV2ug",149,222,214,436,50.92
"PeRseeO","n3-1kasJX0zTh--z9tusmyfJX5JP-wpjo43xXrrEa1kPbfE",20,279,269,548,50.91
"twtvtheyegah","by4eKIFnNHXDdz1PpE0FXE_qgVM8y55ScmrEMfzpz1ch-lC38vMEms9iPg",50,307,296,603,50.91
"SUCK MY CLØCK","jROtdG_mF3B8O8Mnm4ZyCXEFmSidZBk_U8vUWyw59hKxUl8",160,223,215,438,50.91
"The Doggo","GHBB6keahTb2cuCbe8sYA79SedKnZcTUzC-ku3CGtBwuw8A",117,476,459,935,50.91
"Petite Boy","jEENOudS45WvCM86ragJVltlsILGE0P-Uwxgw1lvnhYTqng",40,617,595,1212,50.91
"Hyg Mentality","hVpY7KQNS00IewKJZuKTWF7ZkgS8eqdbvELesdyrldkTYqQ",428,502,484,986,50.91
"Raynarz","_xOLD1ClAqHUqSmsRgO2_wtAxgM6DhF77HgVAR2u8mUgWw4",367,340,328,668,50.90
"Døraemon","6wekX1_ZUt6k0bcjQsEsSpr2IjOI9FGdnEmPJY9Z2tVASSk",365,255,246,501,50.90
"TwitchTvisaac1v9","EA49LaJPhDwrEH8414wyheAC30l9NBTmEYyW3DXJlp8Drjat",8,311,300,611,50.90
"Nukez","RILc3TOpbX1UdZ07bNGH2ejDw11gPWgN6JM6MiV3ubV0xK8",117,341,329,670,50.90
"TTV itssDZe","EURwSaDZtDBllG64esvqB-NWZcH5NxDwrd5SKaQHnVzxusk",215,594,573,1167,50.90
"for fun gameplay","uannBWHFdL6PeMEnsiBpObpoGJyyVsaMN3wCMCb8uXz2QoQ",215,200,193,393,50.89
"Saint Frost","2hkfDfjy6nTQ61RT4enIha-FAEDMDY_3wstMYXot95u1qHE",118,258,249,507,50.89
"Kingbranflakes","Ah-pTMdM60_x56zHRXn8AR8LUNX5vpK8JDqwaAK7kYBJHAk",283,228,220,448,50.89
"K for Kimchi","nocb_nfezo3h57UeDQLdSesfkvjccs41vFBihXPKJvaOTTc",267,228,220,448,50.89
"CuddleSnuffles","9SsWB51rFjjyNVS0-FKzVH5hqodk_92keCSG3i7Gb-g_--s",248,456,440,896,50.89
"Saeva","Mep-LN0BDWyaw-uD-W33Rbdt8JDBEoYx0JALWRezNbB-ZjY",162,285,275,560,50.89
"Binkx123","SjY806uX3fmN502oOIFdGahykJ3DavSKy6XQ_-RrmBeTVew",441,517,499,1016,50.89
"Gio Monster","gv6aRKx8cGwLhwjGlPcy-drnexhf4jeQHeIcKqkMUGsvPbA",166,258,249,507,50.89
"Bu sheng qi","atgVpkiVchIWEy6RHjlJ2FxGJL38oyr4vjAzid4oAiyQDhKe",0,143,138,281,50.89
"Arhu","1RfhPEbkrin36b3eisp8ut5jHf5R14dbvZV0OAVH5oXP7LY",37,314,303,617,50.89
"FA Heartbreak","x4VW2XlgF3pzrSLra_mzmxT7XqJBXVDWiVQ2pBqSX73LR0s",323,548,529,1077,50.88
"Nisprel","V7un2nTDXeWTp_8CC6GhUhOkXS76LXsiM2pvdrSpQ5ZvFAaU",70,406,392,798,50.88
"Radahns Horse","UXKGVmwvMALqhL0Fn-SFI2iXeExJonX9aFdDXlc9NuIU92I",454,808,780,1588,50.88
"xxxxzzzzz","PrdbcCwrUiyDUE-4pPE820XXGo31xPdMmuw-uR0LPtdqjkg",207,260,251,511,50.88
"kikyo","fdtC2XkdeK_NX6su6wUMoDWPpfRwVDLkmF1zAfgeUHGSEGBKVzllSp8x_g",76,523,505,1028,50.88
"eddiewitdahoodie","2Jis_2uuVQpoggi7D-tLrNCbPRb_gEu6cRxfxS1jktsUhDQ",172,260,251,511,50.88
"arbrio","5z_dWSIeXYNGgypQNEMJxN8cSOK5QoUeNgiu8KkjB2d0omk",32,779,752,1531,50.88
"duck bao","QC2PH8i5FXSrYcRY0vuz6qbbo5VGFpxs5sc3jRh6KG2L6UQ",16,232,224,456,50.88
"zcxc","3VD-G3TpXhI0CCMXp8jljZxWvPF83AcQS3S2TXGBGe3LWNZV",308,261,252,513,50.88
"Garen OTP Moment","Pts2b1S9BAS5U7NPFOpGl4PQVahxuFYUKIyVo68uNHsojf4",268,262,253,515,50.87
"Drazmere","D7t_687Zhfu9Ylq3eCXWiZG_EmV7AvsDpimmVHQL7ekcYFrD",443,612,591,1203,50.87
"HardstyleGymGod","aVJfxcGPOhxNutR05Z5Ya1oq97nADBppCO04zhgLr4p7Oxo",441,441,426,867,50.87
"NA TOP G","8PgN10TiSuiPLEj5pWHzuJrVzWP9qKtifY4KYSM0J-xp3Yp_",231,411,397,808,50.87
"IllllIIIIllllIIl","6XGXrgFSb15Gy2f-dx9n8FUGV8pmU1GR9VVDs2SNbhCwz9qO",403,560,541,1101,50.86
"Sevrin","rUZQip86lU-nuKkbynpAzEE4pl-MlsCV98LUAAlv1qMbWCo",132,325,314,639,50.86
"KerfaaGOD","EHIcgEUYNqSxAvV5LAh0UJsjC55Y_yoGcJj8Olex6-8Y38CI",364,412,398,810,50.86
"Shaggyy","MrhJ2qutdhZC06gXxx3gTddk0vK2tbKoqtus-1kXJYBmKis",104,593,573,1166,50.86
"SG AkaIi","wzUIQcH6LLRZ3r5n5ZaBBD9GUjA_RSJcu909kLpz_THUMZY",18,326,315,641,50.86
"Vincenttt","NCwdWUjWD_6_VoGZ3gwjnCyU0Ko-XKKP5-boDIZBDaOtLEo",215,298,288,586,50.85
"LIGHTNING TURTLE","dqbRgsNuLzlruSIwvyRYxPQplKFB99927Yi5bUZ9WzKBhjE",101,455,440,895,50.84
"ShleepyHead","inD9uArFXJ-BuPuDPVac78Pjg2Nt_55pdJIeY9RhH4nYolU",423,791,765,1556,50.84
"Masuta Bikuta","HgG5YoBsZ5zGEZtk640zfcIuS_K4JrZi7eB-4jASh-RDx-E",122,243,235,478,50.84
"MybuGlofen","B-QIbyX61CMDKieap_lm4p_4ERlVZ6huho4i9UPNnAbNYAnK0VxYdFcsEw",203,572,553,1125,50.84
"factually","nzdHsnb5PSYpaw2Iis27nu4Y3AcQTFn6iJTsc6uP_4AmPnI",93,302,292,594,50.84
"Kuro7","6QOBl7ftzdG6KXRgOFQSf2LEEORy3mLar19uaZI8kfNrq9U",15,181,175,356,50.84
"Toodaloo","6KaV5iyKweQk0Ih4bnstXUge1wXGZCqhQuM6gwIokMowGnE",30,271,262,533,50.84
"Eastan","ILYzj3BnG0KtZk2GmK0sZpJdoZsk-NlFrjEoLcA0-vfYt1s",216,151,146,297,50.84
"Bashamm","kaKFofgO0MWaqeY9YI2TcrEEgUk2RZlnNY_E8EQzUmZWSrE",103,241,233,474,50.84
"Sunn1","wCA-Bakb4Ho9F-Ljekwj_xTopZJD2OXoee_dWbYmmfkKj8M",6,212,205,417,50.84
"ApeXsnipe","ppDbnv-Nj_QeWUVmzb5wcWs9XYYoAvjr8QV4bvszbiTSAjA",255,276,267,543,50.83
"Diwatang Baliw","_rJZA78mTG3uiabIQCihulKmQVivlkkfAd8bYC0AuNw-1M0",191,122,118,240,50.83
"TTV HonorViego","pdpBVZrbWbfQG6ZifRXxs2OK-GYXUiLRwqc-v64QP37goUiNXtdfqlanKg",143,643,622,1265,50.83
"Han Feng ","W6z-Ezq3Ndu-LjOqW06Yx6cjYrR1IZpbiH6ZBoI_AsF9JnHM",145,123,119,242,50.83
"ShadyFM","MxdN2hjpsJZmD-csKyuyVu_Riol8bdsUcEsLYtAp42_3Y9M",206,153,148,301,50.83
"Draconus","4ENbsjKCAUNdiG8NWmvEbBE0geGZNdPJLptquYwXMg9s3us",1,553,535,1088,50.83
"Clemency5th","X1Q0tDzcAGZ_iJmyRcrh7sp3VspGi5q8X9RN4MCeNPaMx20",19,644,623,1267,50.83
"no one compares","BuOfIi6TtZ1qWLwUZNGZpLhXBiBw7oegImcam7grtF1rp0CD",3,155,150,305,50.82
"kkgbyn","gTKyInbYgrc1M4bseAm_RsqWRZ3Jm0fczLRtEuObIhuQ8Jk",269,621,601,1222,50.82
"Habangbabybread","_P7btHVXBcELW8zOI69RrUO1O0pmtGjRapxlnlZgivcVDUU",121,1055,1021,2076,50.82
"get milked69","D9j9QamVtTGWH1UnkAJUiissPn4lQV6pGQW5BClQ4t3lfxs",103,124,120,244,50.82
"JBL Speakers","r-O1LdTvVzD5w4oA1vFAK_HVuOfge5ePBs083hxdzmHd_oE",376,373,361,734,50.82
"Doopliss2","aAB5xgQgQ2PSC6D1geE4pg910eoWrjhV9NRKlVTMgsM0w4kKEk1jrtcCPA",60,248,240,488,50.82
"4inch is average","2j85GsbgmmqvukEyUj-279_xaYYX6R-HhKvlGK6J-A7eCeA",11,93,90,183,50.82
"iarukas","0zMNiFTY0vN5p7e3QgJJ91el9A5mqteU3vg4KhwMTCzGDhDR",0,93,90,183,50.82
"BeBePro","Xcj_E2RKg8vJMMOs4uOyw8zZJUUJUQS0WYKf1-L49Rp9WK4",302,157,152,309,50.81
"Soju Rain","nTI9tMLRAf5PDW2JUOr3XST0xP8bUG2KROLA0TzgFgERV7s",331,220,213,433,50.81
"Kcusmai","mDsBeMWS-P2bnkhwgKjcsyXYk3QBXo6eMMClD39KF0jj7eM",52,284,275,559,50.81
"Do not hugme","DuUPsSO3jC7uWYywPqJtcCh5stzD48VwQH8RzwumTQgTDmAplshdkJQSIg",438,598,579,1177,50.81
"Maykel","rtDT2qSkJC8cUTfmb1guHIbVfYl3eDINdp7h-mQLHAffp0No3n1WyQId7Q",185,406,393,799,50.81
"Dua Lissa NYC","m24SKGv7H-Bcg4kYcssmgHqI780-RutLeQzzPqJSmByW9F-x",419,442,428,870,50.80
"gab1418","enmUKW87omnVFALEBCuItwiSQ6rbGJHtUbDc6anX2mVK4RE",61,763,739,1502,50.80
"Poz","EnjRFh0SurpLXq3XEc74q8nNxXWODGFuFpWkk3IaJQ6tHik",161,413,400,813,50.80
"help on the way","WPpB_xQtIqZrIBuWPA7wy7ZqYxeuknypfA_JnaRx1iKmwRI",491,474,459,933,50.80
"Leoto","ntaPNnNyKmeXR3v-ITribU7_GbpeFc26cI-X0FiMyqQ",186,285,276,561,50.80
"Geeega","aiMIaVyyITnmBD6Xw40d05A5wRrC2GcCFwD6TUvSJMUcC40",151,320,310,630,50.79
"Yasuhiro Takeda","xkbpyiveylSUpZGcvxB9QI3vM0rNkBlC_h-dXsoMiHn_aAw",230,577,559,1136,50.79
"Erick Dota","XE13DsAh6Z6RrU87E_58qDn0JSHxmDXG44Fpwc6DKLUd2YI",301,767,743,1510,50.79
"SuckOnDeezBeez","mcY9byx_iZXtmJJbyyeJ-tcaIn1Ae6-eaTXxI17WY1h6DS8",248,225,218,443,50.79
"Intensifyy","HdTZdVE5C21NkyoztO9abbsDYseJRq0_KlZGf3-24lDFQHY",35,483,468,951,50.79
"KissFight","UNlNBn9YtY_T8Q1UbW2IiyqhIPlxkS7wOZfEIXhakqfW06w",366,128,124,252,50.79
"Sir KullJerk","Z6Xy2brWPg6jXJipQspSTNG3Jyui2lgjl8xMEzUTRk36OI94",204,418,405,823,50.79
"listenDogs","8jOIkhyZXGZVN7NMMt5I75rErNpRH3wc5HZSf1gb6iszaSk",263,970,940,1910,50.79
"Scrive","4osRxnKkl4LVrL_od2aHrMCin2bmFaT_rL-JwxFdIo1SuHY",149,224,217,441,50.79
"meiko1","VlO9GqpsgbTgT1WgdRy1ZyGE1XJ4swK7c1xT78b9PVGX3l9BJoUKULq8Vg",195,192,186,378,50.79
"Kyoriosity","NowbiGHPShBamOx_TDzFbsIN5sM6BThq5P75MOw5RFSGF7I",40,130,126,256,50.78
"eL eL TRIGGER","OFAg1CMq1xfyZ8kVJCDfp_rr08LTnFVOLGpfBkEWxzkETuTV1AMyebJw2w",257,229,222,451,50.78
"VÂNQUISH","BeCeV8pBLTXeJ6jV1cqVoww0nHUHTgSyu4Poz3CD1EqBH8M",29,324,314,638,50.78
"Jayweii","-0TUrVCVYbrs1s3lLDSiaJTVzFeTxRhSaZv3KpIaPozouAY",50,628,609,1237,50.77
"Taffys","F8gA64N28kihTxZJyPkbsvNJWCk5Thymiq--ame-I7lTgBI",422,595,577,1172,50.77
"JokinenNA","VNHRIRsv-qRosvBjAby7B0pJ5ssVkHKxhAcEZpZ1qziO6a8",87,263,255,518,50.77
"Barron Von Boich","e4e2xIYoPePS0EETSZEBya4v32gEvKdbTSERyjnSMCT610xv",173,231,224,455,50.77
"Kęii","Yn8n7sYvIHIEsuXPmNg0CSB9AlmooN0Mn_d9fTZWx3HjfOHn",222,265,257,522,50.77
"D3VIL DEGREY","saZQt9SXCV7Pi_U6WuNxmOeNyssrFYo23I_T3T3Qi5IJ_7k",205,662,642,1304,50.77
"Barry Buggles","Ns4lFAQ4g9109HUXMa8ElQCwUhGf04xrJUEgElpYGYtrKLE",324,232,225,457,50.77
"DEMOTION SCREEN","LL1r29Scc3llGapwbnN5uuypMR1Qld7-WDmrZ1rGeHQUiX4",260,459,445,904,50.77
"Mike Trout of D1","9Hkr3GJDcdLY3dXIITpi7UFajj-yR1lE759gcg9lTrK87UFBiFR7vomfsg",0,557,540,1097,50.77
"Levi Pug","vt4GyorUoroqTQRzYFRufdm-MaRzfKvl1CLfb0pMfroJAwc",94,200,194,394,50.76
"CARPET JlZZER","kOP_0VhVAMdI3yzVRaGX7ONZ_0NFqU_KM9H9IjGszISciQE",1,366,355,721,50.76
"Emended","rk3JWaevKLPUADBJolQ7AinFton8hbaLFT5xJpgN6Mw5BFM",210,234,227,461,50.76
"Owen7","jijSzYM8JglscKf6Nmz79D6I19K8R2KnLxqjHTJQuKTm6KA",119,333,323,656,50.76
"Goatbm","GfpwPpgknjIA6zPZWEDIe-u-X-qe9yy0QYqtHlUbNsmEL1o",136,573,556,1129,50.75
"Elee","GshiO0FmP7LfN2QwGUObrjf3mRT2tXK9s4cvSC2hZCK9VPA",0,340,330,670,50.75
"Navigation1","je6j_u3HUh6WH1m-QhLw5ypeXfIP3_mNJK80BX6qbGMWwco",417,814,790,1604,50.75
"AsianSuperiority","wv2o3LWYrJYLpT8BXyMgPG7agEhFJxpNct-6zCfKHU4zM2E",326,270,262,532,50.75
"souI","wNLdCziHo3KNoaFTgZpUCchohdoPGI9WBBThci9Khq7vO0K0vSeFCTZwEg",43,305,296,601,50.75
"Novawa","4gOKjP2RVQkqnGjkFuP9wc738JfJZRVcfKiAEgst5e710jk",49,639,620,1259,50.75
"ADC SEASON 10","JE4pY1kwNNVPTIpBlxv-fXNyICW-O7VV6U-PIaz4FH9aumOU",30,441,428,869,50.75
"OPG MoMo","l4W_8ZNNL62wGpxe8rsASWXrGMXRXPI5hKVvwJt1p_MqVSD-jr4zK7WCmg",1,102,99,201,50.75
"TTV vsekai","SDdwY5Uc5UHAyis3lN7QFClNYcl5h1PNh7wYglx88Iu2fj4",317,681,661,1342,50.75
"rhuswok","9AJIU76XJGu60ZU1A5Jo8X5mb-JvjNfs2ROTnSm8o_WVu0Y",1,169,164,333,50.75
"VICTOR PERKINS","IKwugMBYFG1f3im-ykTKgO-9ezWB5gFujS7r5y-WmtrBXgc",214,137,133,270,50.74
"Abendegos","QkCATcwCiFi8va03MwZPVutFk2zbJxqFQy30a6JdGATN6aV6JG-sCDVZOA",1,378,367,745,50.74
"Zacierus","md-PfSrihV21lYa2eSoHyb850yPzAuatBSacSzV8WYtzU_U",383,649,630,1279,50.74
"ChorionicMean","DZVDUqjkytu8o4SctA1rP_31Gvgzt0cTM8Rryj32YC_9dHw",142,689,669,1358,50.74
"Going Home","sLwv0dehwHHaOHi0Wg8KpQA3JeR1lJ0H4zwzDG243o0_6rw",178,240,233,473,50.74
"FINDlNG TEEMO","kJ4asW9dKxMNUIbKLaGYtatEu_8PM8BdoT8im5hIv_1_E-4",296,239,232,471,50.74
"Sir Mighty Bacon","lrQQVsSrxWt4nXWbr1lSCmC_Q8n2e2uzrCnLi5bkIZ0ehQY",153,138,134,272,50.74
"taylorswiftfan32","vJbXze8Rld03iOqvuCm6lUu-LMrf9vDmmBsGyNYrCXDFBuY",95,548,532,1080,50.74
"Braindless","a6crwWrOdk_1LR5O5RuBssUmpiPw_g5zUnl1O8dwNf_vZ534",40,241,234,475,50.74
"SevenSevenSeven","1n-nXX_EKNmQ9TqX8f4XWbodnZSI5V-X0nZD_r6t0jQ9lcY",40,171,166,337,50.74
"Nulnul","JmAew7I-tiX0BC_Xe6asJXB1PDwQ007YjQsD-UsLAERNsTMK",223,103,100,203,50.74
"Skum","KLjas69PEVZg_ihQef1oU8g1wFUIZWcCoWAcFCXlabfVvQA",58,380,369,749,50.73
"sprinklrr","2UbDX4dDlfoGfg88QkTJC4qb_2MQAuPhom5JyWYhD1PT1X0",281,384,373,757,50.73
"Best Turtle OCE","LohLV_r6aPXwFNiL8MD4NCeDMy3Ko9HmngwOzgYJV5F1Gao",404,246,239,485,50.72
"I Shadow I","jblZ40S9QDeUGQDb9FpP_sVBgb-YEOulXvxKCdlijj_HhJ0",315,319,310,629,50.72
"ME CAN WIN ","xExAMZ8LQ2wdMomBsBH2ovNP5F-za7AslhxDwjolKTpySQU",309,210,204,414,50.72
"Always Top Diff","QQoxnwRMjDTcLa17WEHPang9MfxkVnXVImATLszHaFGr",80,851,827,1678,50.72
"CIoúd","adjeC5Ond54cMO-gOByglJvKTtV2s6KijkgrUwbgE0hiYyU5ZiF1xGg2Mw",403,424,412,836,50.72
"BABYNOW","e2cRQixj2E2zIpZPOijTl1yWU9lo0bvPPMsFE96XNNnPwbh6",253,175,170,345,50.72
"zero xiaochou","XPAirVtoKu7voRxH8tu6bpKB7a4cFGFUCsoQCZtegxW5dYM",51,387,376,763,50.72
"catennator","l-m1XhQX_401Uzb3TyM4EHB4DMCzePoxPiZrwNpmWzvWGnw",102,177,172,349,50.72
"ygjklj","vFEc6gCN6mvUb17BLK8bxhpihvcTS37JV9Jp7NKvNpPw56NWXvqu9GfozQ",394,247,240,487,50.72
"SIKDot","pFedwEgAsT1Qb7-OUjkGyCjsAmjkOrih0tCFB1hZp_fGoKI",209,140,136,276,50.72
"yumichi","KisbKIxGenqmPj4KnFxRBz4h8u-jGOdD-2MvmnNfPbT4wGg",23,636,618,1254,50.72
"YeetYuh","yRoXxLqrTQoltyEoz3xpL5vJOsx8FSs_kdGP73YjKsVhEWQ",59,143,139,282,50.71
"care chimba","yaKahh8H2UuhDZt8Z2_PgeF1kY3HvjcB7Z4vkUn5cMPCiSK1T9McaqPn3g",317,392,381,773,50.71
"King Koney","Xv1_Ult90yGDib1Q_khXEYpIHJz6ATVgdV4XmpQuthm8klY",259,287,279,566,50.71
"LPB Traumerei","_ew8IhCfiaCBbMpxts4Il6bp_j17Orl8ru1sf0MTh4fvYHU",116,250,243,493,50.71
